Lot,Process001_MachineNo,Process002_MachineNo,Process003_MachineNo,Process004_MachineNo,Process005_MachineNo,Process006_MachineNo,Process007_MachineNo,Process008_MachineNo,Process009_MachineNo,Process010_MachineNo,Process011_MachineNo,Process012_MachineNo,Process013_MachineNo,Process014_MachineNo,Process015_MachineNo,Process016_MachineNo,Process017_MachineNo,Process018_MachineNo,Process019_MachineNo,Process020_MachineNo,Process021_MachineNo,Process022_MachineNo,Process023_MachineNo,Process024_MachineNo,Process025_MachineNo,Process026_MachineNo,Process027_MachineNo,Process028_MachineNo,Process029_MachineNo,Process030_MachineNo,Process031_MachineNo,Process032_MachineNo,Process033_MachineNo,Process034_MachineNo,Process035_MachineNo,Process036_MachineNo,Process037_MachineNo,Final,CurrentTotalNum,BadNum,TotalNum
WB2018A00228-A00164,ME-004By20181008_20181014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,54912,0,54912
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54912,0,54912
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,54912,0,54912
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,DR-004By20181008_20181014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,54912,0,54912
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,DR-004By20181008_20181014,EX-019By20181008_20181014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,54912,0,54912
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,DR-004By20181008_20181014,EX-019By20181008_20181014,DM-006By20181008_20181014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,54912,0,54912
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,DR-004By20181008_20181014,EX-019By20181008_20181014,DM-006By20181008_20181014,PL-011By20181008_20181014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,54912,0,54912
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,DR-004By20181008_20181014,EX-019By20181008_20181014,DM-006By20181008_20181014,PL-011By20181008_20181014,ME-005By20181008_20181014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,54912,0,54912
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,DR-004By20181008_20181014,EX-019By20181008_20181014,DM-006By20181008_20181014,PL-011By20181008_20181014,ME-005By20181008_20181014,GP-007By20181008_20181014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,54912,0,54912
