Lot,Process001_MachineNo,Process002_MachineNo,Process003_MachineNo,Process004_MachineNo,Process005_MachineNo,Process006_MachineNo,Process007_MachineNo,Process008_MachineNo,Process009_MachineNo,Process010_MachineNo,Process011_MachineNo,Process012_MachineNo,Process013_MachineNo,Process014_MachineNo,Process015_MachineNo,Process016_MachineNo,Process017_MachineNo,Process018_MachineNo,Process019_MachineNo,Process020_MachineNo,Process021_MachineNo,Process022_MachineNo,Process023_MachineNo,Process024_MachineNo,Process025_MachineNo,Process026_MachineNo,Process027_MachineNo,Process028_MachineNo,Process029_MachineNo,Process030_MachineNo,Process031_MachineNo,Process032_MachineNo,Process033_MachineNo,Process034_MachineNo,Process035_MachineNo,Process036_MachineNo,Process037_MachineNo,Final,CurrentTotalNum,BadNum,TotalNum
WB2018A00228-A00164,ME-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,54912,0,54912
WB2018A00228-A00164,ME-004,SP-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54912,0,54912
WB2018A00228-A00164,ME-004,SP-005,PL-024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,54912,0,54912
WB2018A00228-A00164,ME-004,SP-005,PL-024,DR-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,54912,0,54912
WB2018A00228-A00164,ME-004,SP-005,PL-024,DR-004,EX-019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,54912,0,54912
WB2018A00228-A00164,ME-004,SP-005,PL-024,DR-004,EX-019,DM-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,54912,0,54912
WB2018A00228-A00164,ME-004,SP-005,PL-024,DR-004,EX-019,DM-006,PL-011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,54912,0,54912
WB2018A00228-A00164,ME-004,SP-005,PL-024,DR-004,EX-019,DM-006,PL-011,ME-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,54912,0,54912
WB2018A00228-A00164,ME-004,SP-005,PL-024,DR-004,EX-019,DM-006,PL-011,ME-005,GP-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,54912,0,54912
WB2018A00228-A00164,ME-004,SP-005,PL-024,DR-004,EX-019,DM-006,PL-011,ME-005,GP-007,PT-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,54912,0,54912
WB2018A00228-A00164,ME-004,SP-005,PL-024,DR-004,EX-019,DM-006,PL-011,ME-005,GP-007,PT-106,OV-121,,,,,,,,,,,,,,,,,,,,,,,,,,,11,54912,0,54912
WB2018A00228-A00164,ME-004,SP-005,PL-024,DR-004,EX-019,DM-006,PL-011,ME-005,GP-007,PT-106,OV-121,EX-017,,,,,,,,,,,,,,,,,,,,,,,,,,12,54912,0,54912
WB2018A00228-A00164,ME-004,SP-005,PL-024,DR-004,EX-019,DM-006,PL-011,ME-005,GP-007,PT-106,OV-121,EX-017,DM-004,,,,,,,,,,,,,,,,,,,,,,,,,13,54912,0,54912
