YieldRate,BadPiece,Machine
0.155840,115858.899,Process024_MachineNo:IS-006
0.155840,0.975,Process008_MachineNo:IS-006
0.169165,7.942,Process018_MachineNo:DK-001
0.169165,22225.385,Process008_MachineNo:DK-001
0.327970,98742.442,Process003_MachineNo:OV-146
0.361045,43930.991,Process007_MachineNo:PL-021
0.361045,10683.309,Process008_MachineNo:PL-021
0.361045,3.540,Process005_MachineNo:PL-021
0.620244,1961.098,Process011_MachineNo:SW-019
0.732744,14845.254,Process016_MachineNo:FT-084
0.732744,280.736,Process026_MachineNo:FT-084
0.780755,2580.239,Process013_MachineNo:CR-034
0.780755,1183.840,Process018_MachineNo:CR-034
0.851555,669.435,Process001_MachineNo:DK-011
0.851555,118.632,Process012_MachineNo:DK-011
0.851555,1229.606,Process013_MachineNo:DK-011
0.851555,8.982,Process018_MachineNo:DK-011
0.895969,104.031,Process001_MachineNo:GP-008
0.910872,2301.812,Process010_MachineNo:ME-007
0.910872,5002.303,Process013_MachineNo:ME-007
0.910872,10980.741,Process011_MachineNo:ME-007
0.910872,1464.891,Process018_MachineNo:ME-007
0.910872,4.576,Process022_MachineNo:ME-007
0.910872,1783.246,Process019_MachineNo:ME-007
0.923993,1169.168,Process015_MachineNo:ME-004
0.923993,349777.128,Process001_MachineNo:ME-004
0.943852,4.502,Process018_MachineNo:DK-003
0.943852,340.629,Process013_MachineNo:DK-003
0.943852,302.091,Process014_MachineNo:DK-003
0.943852,49.623,Process012_MachineNo:DK-003
0.947529,487.788,Process029_MachineNo:FT-083
0.947529,947.837,Process015_MachineNo:FT-083
0.947529,1.266,Process024_MachineNo:FT-083
0.947529,4331.035,Process018_MachineNo:FT-083
0.947529,2670.381,Process017_MachineNo:FT-083
0.947529,240.950,Process030_MachineNo:FT-083
0.947529,408.075,Process019_MachineNo:FT-083
0.952497,4.796,Process010_MachineNo:CR-022
0.952497,114688.082,Process001_MachineNo:CR-022
0.952497,847.500,Process021_MachineNo:CR-022
0.963348,4371.307,Process007_MachineNo:EX-002
0.963348,211.206,Process023_MachineNo:EX-002
0.963348,231.081,Process011_MachineNo:EX-002
0.963348,890.205,Process010_MachineNo:EX-002
0.963348,31165.555,Process006_MachineNo:EX-002
0.963348,480.712,Process019_MachineNo:EX-002
0.963348,20144.703,Process005_MachineNo:EX-002
0.963348,1.085,Process009_MachineNo:EX-002
0.972578,5741.740,Process005_MachineNo:DR-005
0.972578,49924.176,Process004_MachineNo:DR-005
0.972578,8911.328,Process006_MachineNo:DR-005
0.972601,24.067,Process006_MachineNo:HM-010
0.972601,0.765,Process012_MachineNo:HM-010
0.972725,66218.275,Process001_MachineNo:CR-051
0.972953,0.777,Process011_MachineNo:VE-001
0.972953,24.418,Process005_MachineNo:VE-001
0.974284,13540.383,Process002_MachineNo:SP-007
0.974284,13454.557,Process003_MachineNo:SP-007
0.974284,3238.843,Process004_MachineNo:SP-007
