YieldRate,BadPiece,Machine
0.339713,57.169,Process003_MachineNo:OV-146
0.465707,6.508,Process025_MachineNo:ME-006
0.465707,19.793,Process012_MachineNo:ME-006
0.549174,1.336,Process023_MachineNo:FT-044
0.549174,25.806,Process015_MachineNo:FT-044
0.619469,2.897,Process013_MachineNo:CR-034
0.619469,45.608,Process018_MachineNo:CR-034
0.634086,19.254,Process011_MachineNo:SW-019
0.737407,45.979,Process024_MachineNo:IS-006
0.737407,0.933,Process008_MachineNo:IS-006
0.780891,37.785,Process013_MachineNo:DK-011
0.780891,42.237,Process001_MachineNo:DK-011
0.780891,12.317,Process018_MachineNo:DK-011
0.780891,4.061,Process012_MachineNo:DK-011
0.876158,2.528,Process021_MachineNo:IN-005
0.892745,4.290,Process001_MachineNo:GP-008
0.898643,2.900,Process016_MachineNo:FT-084
0.898643,3.055,Process026_MachineNo:FT-084
0.908094,1.664,Process005_MachineNo:PL-021
0.908094,1.467,Process008_MachineNo:PL-021
0.908094,4.641,Process007_MachineNo:PL-021
0.910762,521.879,Process001_MachineNo:ME-004
0.910762,1.067,Process015_MachineNo:ME-004
0.933092,59.540,Process005_MachineNo:EX-002
0.933092,2.940,Process009_MachineNo:EX-002
0.933092,4.575,Process007_MachineNo:EX-002
0.933092,14.568,Process011_MachineNo:EX-002
0.933092,2.838,Process010_MachineNo:EX-002
0.933092,41.296,Process006_MachineNo:EX-002
0.933092,0.876,Process023_MachineNo:EX-002
0.933092,0.666,Process019_MachineNo:EX-002
0.938101,5.299,Process008_MachineNo:DK-001
0.938101,2.741,Process018_MachineNo:DK-001
0.943440,3.373,Process029_MachineNo:FT-072
0.948885,0.160,Process021_MachineNo:CR-022
0.948885,194.679,Process001_MachineNo:CR-022
0.948885,5.058,Process010_MachineNo:CR-022
0.952015,9.842,Process010_MachineNo:ME-007
0.952015,17.764,Process018_MachineNo:ME-007
0.952015,3.148,Process011_MachineNo:ME-007
0.952015,4.909,Process019_MachineNo:ME-007
0.952015,44.780,Process013_MachineNo:ME-007
0.952015,2.107,Process022_MachineNo:ME-007
0.965975,119.028,Process002_MachineNo:OV-058
0.965975,3.197,Process011_MachineNo:OV-058
0.967617,66.486,Process007_MachineNo:PL-006
0.967617,7.577,Process009_MachineNo:PL-006
0.967617,18.584,Process008_MachineNo:PL-006
0.971482,7.430,Process013_MachineNo:DK-003
0.971482,3.670,Process014_MachineNo:DK-003
0.971482,1.338,Process012_MachineNo:DK-003
0.971482,1.281,Process018_MachineNo:DK-003
0.973060,37.263,Process008_MachineNo:PL-007
0.973060,7.279,Process007_MachineNo:PL-007
0.973060,2.398,Process017_MachineNo:PL-007
0.975882,35.074,Process001_MachineNo:LS-020
0.975882,0.686,Process029_MachineNo:LS-020
0.976026,6.188,Process013_MachineNo:DK-010
0.976258,46.381,Process006_MachineNo:EX-017
0.976258,5.228,Process007_MachineNo:EX-017
0.976258,10.014,Process005_MachineNo:EX-017
0.976258,8.799,Process012_MachineNo:EX-017
0.982111,25.760,Process001_MachineNo:CR-051
0.982688,0.701,Process012_MachineNo:HM-010
0.982688,0.597,Process006_MachineNo:HM-010
0.982772,0.710,Process011_MachineNo:VE-001
0.982772,0.605,Process005_MachineNo:VE-001
0.984215,12.431,Process006_MachineNo:EX-007
0.984215,0.564,Process003_MachineNo:EX-007
0.984215,0.418,Process020_MachineNo:EX-007
0.984215,3.517,Process010_MachineNo:EX-007
0.984215,8.511,Process021_MachineNo:EX-007
0.984215,10.644,Process011_MachineNo:EX-007
0.989219,8.866,Process003_MachineNo:PT-106
0.989219,0.487,Process016_MachineNo:PT-106
0.989219,15.330,Process002_MachineNo:PT-106
0.989219,13.657,Process008_MachineNo:PT-106
0.989219,1.398,Process019_MachineNo:PT-106
0.989219,8.726,Process010_MachineNo:PT-106
0.989219,13.426,Process006_MachineNo:PT-106
0.989219,0.719,Process009_MachineNo:PT-106
0.989219,41.567,Process001_MachineNo:PT-106
0.989219,13.956,Process004_MachineNo:PT-106
0.989230,0.960,Process018_MachineNo:DK-012
0.989230,2.770,Process017_MachineNo:DK-012
0.989230,2.010,Process013_MachineNo:DK-012
0.989496,0.825,Process026_MachineNo:IN-010
0.990135,13.055,Process009_MachineNo:EX-016
0.990135,0.716,Process010_MachineNo:EX-016
0.990135,2.181,Process011_MachineNo:EX-016
0.990443,0.562,Process010_MachineNo:CR-046
0.990443,11.773,Process002_MachineNo:CR-046
0.990443,20.135,Process001_MachineNo:CR-046
0.991387,18.683,Process003_MachineNo:SP-007
0.991387,10.069,Process002_MachineNo:SP-007
0.991387,1.288,Process012_MachineNo:SP-007
0.991387,1.790,Process004_MachineNo:SP-007
0.992737,1.511,Process019_MachineNo:DM-006
0.992737,0.133,Process011_MachineNo:DM-006
0.992737,3.429,Process006_MachineNo:DM-006
0.992737,1.705,Process021_MachineNo:DM-006
0.992737,0.640,Process020_MachineNo:DM-006
0.992737,5.261,Process007_MachineNo:DM-006
0.992737,0.977,Process018_MachineNo:DM-006
0.992748,0.009,Process027_MachineNo:FT-086
0.992748,0.003,Process028_MachineNo:FT-086
0.992748,0.549,Process018_MachineNo:FT-086
0.992748,0.042,Process014_MachineNo:FT-086
0.992748,0.040,Process015_MachineNo:FT-086
0.992748,1.326,Process017_MachineNo:FT-086
0.992748,0.358,Process019_MachineNo:FT-086
0.993089,7.854,Process010_MachineNo:DR-001
0.993089,1.521,Process016_MachineNo:DR-001
0.993089,9.612,Process008_MachineNo:DR-001
0.993089,0.252,Process002_MachineNo:DR-001
0.993089,10.124,Process014_MachineNo:DR-001
0.993089,0.499,Process015_MachineNo:DR-001
0.993089,2.382,Process009_MachineNo:DR-001
0.993089,3.054,Process004_MachineNo:DR-001
0.993089,0.073,Process018_MachineNo:DR-001
0.993089,15.108,Process005_MachineNo:DR-001
0.993089,0.093,Process022_MachineNo:DR-001
0.993565,0.290,Process006_MachineNo:FN-021
0.994417,3.019,Process010_MachineNo:PL-022
0.994417,0.031,Process011_MachineNo:PL-022
0.994417,1.034,Process014_MachineNo:PL-022
0.994668,0.532,Process020_MachineNo:PT-104
0.994668,0.239,Process010_MachineNo:PT-104
0.994668,0.073,Process018_MachineNo:PT-104
0.994668,0.806,Process017_MachineNo:PT-104
0.994668,1.067,Process011_MachineNo:PT-104
0.994668,0.073,Process016_MachineNo:PT-104
0.994668,0.280,Process019_MachineNo:PT-104
0.995045,0.297,Process015_MachineNo:EX-004
0.995045,0.349,Process022_MachineNo:EX-004
0.995045,0.136,Process014_MachineNo:EX-004
0.995045,0.477,Process016_MachineNo:EX-004
0.995045,0.776,Process013_MachineNo:EX-004
0.995045,0.340,Process006_MachineNo:EX-004
0.995808,0.248,Process011_MachineNo:OV-148
0.995808,8.420,Process002_MachineNo:OV-148
0.995808,4.591,Process003_MachineNo:OV-148
0.996242,4.258,Process010_MachineNo:PT-118
0.996242,0.175,Process009_MachineNo:PT-118
0.996242,0.050,Process011_MachineNo:PT-118
0.996242,6.885,Process003_MachineNo:PT-118
0.996242,0.312,Process014_MachineNo:PT-118
0.996242,0.384,Process017_MachineNo:PT-118
0.996242,7.703,Process001_MachineNo:PT-118
0.996590,0.251,Process013_MachineNo:PL-010
0.996590,0.167,Process011_MachineNo:PL-010
0.996590,0.768,Process014_MachineNo:PL-010
0.996590,4.567,Process012_MachineNo:PL-010
0.996590,0.007,Process021_MachineNo:PL-010
0.996702,3.165,Process008_MachineNo:PL-017
0.996702,2.151,Process014_MachineNo:PL-017
0.996702,0.327,Process007_MachineNo:PL-017
0.996702,1.055,Process009_MachineNo:PL-017
0.996732,0.191,Process008_MachineNo:DK-004
0.996732,0.266,Process014_MachineNo:DK-004
0.996976,0.079,Process014_MachineNo:PT-114
0.996976,0.079,Process012_MachineNo:PT-114
0.996976,0.278,Process016_MachineNo:PT-114
0.996976,0.466,Process015_MachineNo:PT-114
0.997171,2.875,Process005_MachineNo:DR-006
0.997171,1.024,Process006_MachineNo:DR-006
0.997171,2.714,Process004_MachineNo:DR-006
0.997201,1.389,Process005_MachineNo:DR-005
0.997201,4.341,Process004_MachineNo:DR-005
0.997201,0.534,Process006_MachineNo:DR-005
0.997216,0.081,Process005_MachineNo:PL-011
0.997216,2.477,Process008_MachineNo:PL-011
0.997216,1.655,Process007_MachineNo:PL-011
0.997216,0.138,Process009_MachineNo:PL-011
0.997809,0.026,Process017_MachineNo:SP-004
0.997892,2.768,Process019_MachineNo:RF-028
0.997946,1.638,Process008_MachineNo:PL-012
0.997946,0.471,Process012_MachineNo:PL-012
0.997946,0.029,Process013_MachineNo:PL-012
0.997946,2.342,Process007_MachineNo:PL-012
0.997946,0.136,Process006_MachineNo:PL-012
0.997946,0.097,Process017_MachineNo:PL-012
0.997946,0.808,Process009_MachineNo:PL-012
0.998063,2.491,Process004_MachineNo:DR-004
0.998063,1.534,Process005_MachineNo:DR-004
0.998063,0.675,Process006_MachineNo:DR-004
0.998225,0.193,Process019_MachineNo:EX-015
0.998225,1.758,Process006_MachineNo:EX-015
0.998225,0.871,Process007_MachineNo:EX-015
0.998225,0.080,Process013_MachineNo:EX-015
0.998225,0.085,Process015_MachineNo:EX-015
0.998415,0.393,Process007_MachineNo:EX-018
0.998415,4.879,Process005_MachineNo:EX-018
0.998415,0.167,Process006_MachineNo:EX-018
0.998439,6.775,Process002_MachineNo:SP-005
0.998439,5.147,Process003_MachineNo:SP-005
0.998439,1.490,Process004_MachineNo:SP-005
0.998479,8.253,Process004_MachineNo:PL-024
0.998479,0.241,Process013_MachineNo:PL-024
0.998479,1.786,Process005_MachineNo:PL-024
0.998479,8.347,Process003_MachineNo:PL-024
0.998691,0.897,Process011_MachineNo:PL-018
0.998691,0.009,Process027_MachineNo:PL-018
0.998691,0.254,Process012_MachineNo:PL-018
0.998691,0.149,Process010_MachineNo:PL-018
0.998691,0.100,Process017_MachineNo:PL-018
0.998691,0.182,Process002_MachineNo:PL-018
0.998691,1.481,Process016_MachineNo:PL-018
0.998694,1.488,Process004_MachineNo:DR-007
0.998694,1.082,Process005_MachineNo:DR-007
0.998694,0.330,Process006_MachineNo:DR-007
0.998836,0.172,Process016_MachineNo:DM-005
0.998836,0.397,Process011_MachineNo:DM-005
0.998836,1.302,Process008_MachineNo:DM-005
0.998836,0.091,Process005_MachineNo:DM-005
0.998836,1.388,Process012_MachineNo:DM-005
0.998836,5.193,Process007_MachineNo:DM-005
0.998836,0.045,Process004_MachineNo:DM-005
0.998836,0.016,Process024_MachineNo:DM-005
0.998836,0.014,Process020_MachineNo:DM-005
0.998836,1.704,Process010_MachineNo:DM-005
0.998836,5.522,Process006_MachineNo:DM-005
0.999001,0.229,Process019_MachineNo:DK-008
0.999001,0.015,Process021_MachineNo:DK-008
0.999001,0.432,Process013_MachineNo:DK-008
0.999001,0.119,Process018_MachineNo:DK-008
0.999054,0.465,Process013_MachineNo:GP-005
0.999054,1.788,Process008_MachineNo:GP-005
0.999054,2.042,Process015_MachineNo:GP-005
0.999054,0.015,Process014_MachineNo:GP-005
0.999054,0.103,Process010_MachineNo:GP-005
0.999054,1.366,Process011_MachineNo:GP-005
0.999054,0.082,Process007_MachineNo:GP-005
0.999054,0.030,Process022_MachineNo:GP-005
0.999054,0.825,Process017_MachineNo:GP-005
0.999054,3.206,Process009_MachineNo:GP-005
0.999054,0.076,Process012_MachineNo:GP-005
0.999054,0.173,Process016_MachineNo:GP-005
0.999054,0.090,Process020_MachineNo:GP-005
0.999121,0.396,Process019_MachineNo:PT-100
0.999121,0.028,Process023_MachineNo:PT-100
0.999121,0.117,Process011_MachineNo:PT-100
0.999121,0.250,Process015_MachineNo:PT-100
0.999121,0.083,Process012_MachineNo:PT-100
0.999121,0.325,Process010_MachineNo:PT-100
0.999121,0.034,Process006_MachineNo:PT-100
0.999121,0.274,Process017_MachineNo:PT-100
0.999145,0.015,Process012_MachineNo:LS-022
0.999145,0.016,Process019_MachineNo:LS-022
0.999145,0.005,Process015_MachineNo:LS-022
0.999145,0.120,Process014_MachineNo:LS-022
0.999145,0.134,Process017_MachineNo:LS-022
0.999189,0.167,Process021_MachineNo:FT-088
0.999189,0.675,Process025_MachineNo:FT-088
0.999189,0.031,Process015_MachineNo:FT-088
0.999189,0.283,Process026_MachineNo:FT-088
0.999189,0.060,Process019_MachineNo:FT-088
0.999189,0.051,Process027_MachineNo:FT-088
0.999189,0.062,Process020_MachineNo:FT-088
0.999190,0.144,Process023_MachineNo:OV-122
0.999190,0.351,Process014_MachineNo:OV-122
0.999190,0.227,Process020_MachineNo:OV-122
0.999190,0.024,Process022_MachineNo:OV-122
0.999190,0.081,Process015_MachineNo:OV-122
0.999190,0.079,Process016_MachineNo:OV-122
0.999190,0.012,Process021_MachineNo:OV-122
0.999251,0.496,Process015_MachineNo:GP-007
0.999251,0.460,Process011_MachineNo:GP-007
0.999251,0.086,Process010_MachineNo:GP-007
0.999251,0.141,Process008_MachineNo:GP-007
0.999251,1.144,Process009_MachineNo:GP-007
0.999251,0.045,Process017_MachineNo:GP-007
0.999251,0.015,Process013_MachineNo:GP-007
0.999256,2.579,Process010_MachineNo:ME-005
0.999256,0.218,Process018_MachineNo:ME-005
0.999256,0.689,Process016_MachineNo:ME-005
0.999256,0.203,Process015_MachineNo:ME-005
0.999256,1.626,Process009_MachineNo:ME-005
0.999256,0.108,Process001_MachineNo:ME-005
0.999256,0.128,Process012_MachineNo:ME-005
0.999256,1.243,Process008_MachineNo:ME-005
0.999256,0.259,Process014_MachineNo:ME-005
0.999256,1.138,Process013_MachineNo:ME-005
0.999256,0.563,Process011_MachineNo:ME-005
0.999256,0.006,Process026_MachineNo:ME-005
0.999256,0.039,Process007_MachineNo:ME-005
0.999256,0.074,Process019_MachineNo:ME-005
0.999280,1.364,Process004_MachineNo:OV-141
0.999280,1.465,Process002_MachineNo:OV-141
0.999281,0.134,Process013_MachineNo:LS-063
0.999281,0.169,Process012_MachineNo:LS-063
0.999281,0.003,Process023_MachineNo:LS-063
0.999281,0.004,Process022_MachineNo:LS-063
0.999289,0.129,Process027_MachineNo:FT-078
0.999289,0.070,Process028_MachineNo:FT-078
0.999289,0.170,Process026_MachineNo:FT-078
0.999298,0.072,Process017_MachineNo:OV-077
0.999298,0.306,Process016_MachineNo:OV-077
0.999298,0.339,Process018_MachineNo:OV-077
0.999305,0.002,Process024_MachineNo:LK-007
0.999305,0.075,Process014_MachineNo:LK-007
0.999305,0.003,Process023_MachineNo:LK-007
0.999305,0.001,Process021_MachineNo:LK-007
0.999313,0.011,Process019_MachineNo:OV-125
0.999313,0.088,Process010_MachineNo:OV-125
0.999313,0.046,Process017_MachineNo:OV-125
0.999313,1.179,Process011_MachineNo:OV-125
0.999326,0.942,Process010_MachineNo:MS-021
0.999326,1.286,Process005_MachineNo:MS-021
0.999390,0.024,Process013_MachineNo:PL-023
0.999390,0.161,Process018_MachineNo:PL-023
0.999390,0.095,Process012_MachineNo:PL-023
0.999390,0.018,Process002_MachineNo:PL-023
0.999390,0.051,Process017_MachineNo:PL-023
0.999390,0.522,Process016_MachineNo:PL-023
0.999390,0.116,Process011_MachineNo:PL-023
0.999390,0.076,Process014_MachineNo:PL-023
0.999390,0.038,Process010_MachineNo:PL-023
0.999390,0.695,Process015_MachineNo:PL-023
0.999390,0.046,Process025_MachineNo:PL-023
0.999401,0.149,Process016_MachineNo:LS-065
0.999401,0.081,Process011_MachineNo:LS-065
0.999401,0.105,Process014_MachineNo:LS-065
0.999401,0.082,Process013_MachineNo:LS-065
0.999401,0.040,Process025_MachineNo:LS-065
0.999401,0.046,Process026_MachineNo:LS-065
0.999438,0.050,Process017_MachineNo:GA-580
0.999438,0.025,Process016_MachineNo:GA-580
0.999438,0.009,Process019_MachineNo:GA-580
0.999439,0.042,Process011_MachineNo:LS-033
0.999439,0.106,Process007_MachineNo:LS-033
0.999439,0.001,Process024_MachineNo:LS-033
0.999439,0.477,Process006_MachineNo:LS-033
0.999439,0.022,Process014_MachineNo:LS-033
0.999439,0.305,Process022_MachineNo:LS-033
0.999439,0.107,Process012_MachineNo:LS-033
0.999469,0.337,Process011_MachineNo:LK-004
0.999469,0.080,Process027_MachineNo:LK-004
0.999469,0.090,Process018_MachineNo:LK-004
0.999469,0.004,Process013_MachineNo:LK-004
0.999469,0.001,Process022_MachineNo:LK-004
0.999469,0.144,Process014_MachineNo:LK-004
0.999469,0.255,Process016_MachineNo:LK-004
0.999469,0.001,Process024_MachineNo:LK-004
0.999469,0.117,Process021_MachineNo:LK-004
0.999469,0.037,Process025_MachineNo:LK-004
0.999469,0.003,Process017_MachineNo:LK-004
0.999469,0.655,Process020_MachineNo:LK-004
0.999469,0.036,Process005_MachineNo:EX-012
0.999469,0.159,Process018_MachineNo:EX-012
0.999469,0.338,Process014_MachineNo:EX-012
0.999469,0.162,Process013_MachineNo:EX-012
0.999469,0.008,Process019_MachineNo:EX-012
0.999518,0.215,Process023_MachineNo:IS-010
0.999518,0.062,Process015_MachineNo:IS-010
0.999518,0.037,Process027_MachineNo:IS-010
0.999518,0.359,Process013_MachineNo:IS-010
0.999518,0.339,Process024_MachineNo:IS-010
0.999518,0.037,Process012_MachineNo:IS-010
0.999518,0.017,Process014_MachineNo:IS-010
0.999518,0.101,Process025_MachineNo:IS-010
0.999527,0.138,Process016_MachineNo:SB-001
0.999527,0.260,Process015_MachineNo:SB-001
0.999527,0.041,Process019_MachineNo:SB-001
0.999527,0.589,Process012_MachineNo:SB-001
0.999527,0.082,Process013_MachineNo:SB-001
0.999527,0.102,Process009_MachineNo:SB-001
0.999527,0.169,Process022_MachineNo:SB-001
0.999527,0.583,Process014_MachineNo:SB-001
0.999527,0.312,Process024_MachineNo:SB-001
0.999527,0.732,Process018_MachineNo:SB-001
0.999527,0.257,Process020_MachineNo:SB-001
0.999527,0.239,Process011_MachineNo:SB-001
0.999527,0.151,Process023_MachineNo:SB-001
0.999527,0.061,Process010_MachineNo:SB-001
0.999527,0.345,Process021_MachineNo:SB-001
0.999542,0.049,Process013_MachineNo:LS-054
0.999542,0.051,Process017_MachineNo:LS-054
0.999542,0.531,Process022_MachineNo:LS-054
0.999542,0.006,Process014_MachineNo:LS-054
0.999542,0.018,Process023_MachineNo:LS-054
0.999542,0.150,Process016_MachineNo:LS-054
0.999542,0.048,Process015_MachineNo:LS-054
0.999542,0.113,Process012_MachineNo:LS-054
0.999545,0.049,Process020_MachineNo:OV-133
0.999545,0.088,Process019_MachineNo:OV-133
0.999545,0.062,Process011_MachineNo:OV-133
0.999545,0.484,Process012_MachineNo:OV-133
0.999545,0.180,Process014_MachineNo:OV-133
0.999545,0.109,Process022_MachineNo:OV-133
0.999545,0.074,Process015_MachineNo:OV-133
0.999546,0.152,Process012_MachineNo:LS-031
0.999546,0.100,Process023_MachineNo:LS-031
0.999546,0.135,Process006_MachineNo:LS-031
0.999546,0.272,Process007_MachineNo:LS-031
0.999546,0.066,Process021_MachineNo:LS-031
0.999546,0.083,Process013_MachineNo:LS-031
0.999566,0.434,Process011_MachineNo:OV-121
0.999566,0.253,Process012_MachineNo:OV-121
0.999566,0.039,Process021_MachineNo:OV-121
0.999566,0.300,Process020_MachineNo:OV-121
0.999566,0.316,Process013_MachineNo:OV-121
0.999566,0.210,Process017_MachineNo:OV-121
0.999566,0.054,Process015_MachineNo:OV-121
0.999566,0.118,Process018_MachineNo:OV-121
0.999566,0.016,Process024_MachineNo:OV-121
0.999574,0.016,Process028_MachineNo:PL-003
0.999574,0.279,Process025_MachineNo:PL-003
0.999574,0.084,Process017_MachineNo:PL-003
0.999574,0.014,Process024_MachineNo:PL-003
0.999576,0.120,Process017_MachineNo:FT-087
0.999576,0.009,Process026_MachineNo:FT-087
0.999576,0.064,Process029_MachineNo:FT-087
0.999576,0.023,Process028_MachineNo:FT-087
0.999576,0.064,Process031_MachineNo:FT-087
0.999576,0.033,Process016_MachineNo:FT-087
0.999576,0.007,Process027_MachineNo:FT-087
0.999585,0.203,Process019_MachineNo:DM-004
0.999585,0.127,Process020_MachineNo:DM-004
0.999585,0.244,Process014_MachineNo:DM-004
0.999585,0.046,Process018_MachineNo:DM-004
0.999585,0.286,Process022_MachineNo:DM-004
0.999585,0.015,Process026_MachineNo:DM-004
0.999585,0.034,Process023_MachineNo:DM-004
0.999585,0.416,Process013_MachineNo:DM-004
0.999585,0.014,Process021_MachineNo:DM-004
0.999585,0.292,Process015_MachineNo:DM-004
0.999585,0.050,Process017_MachineNo:DM-004
0.999587,0.002,Process020_MachineNo:CR-031
0.999587,0.247,Process014_MachineNo:CR-031
0.999610,0.037,Process018_MachineNo:OV-123
0.999610,0.052,Process021_MachineNo:OV-123
0.999610,0.069,Process020_MachineNo:OV-123
0.999610,0.010,Process014_MachineNo:OV-123
